説明(英語),説明(英語)
"If the image is 32-bit or 64-bit floating-point, the pixel values are multiplied by 255. That is, the value range [0,1] is mapped to [0,255].If window was created with OpenGL support, cv::imshow also support ogl::Buffer , ogl::Texture2D and cuda::GpuMat as input.If the window was not created before this function, it is assumed creating a window with cv::WINDOW_AUTOSIZE.If you need to show an image that is bigger than the screen resolution, you will need to call namedWindow("""", WINDOW_NORMAL) before the imshow.NoteThis function should be followed by a call to cv::waitKey or cv::pollKey to perform GUI housekeeping tasks that are necessary to actually show the given image and make the window respond to mouse and keyboard events. Otherwise, it won't display the image and the window might lock up. For example, waitKey(0) will display the window infinitely until any keypress (it is suitable for image display). waitKey(25) will display a frame and wait approximately 25 ms for a key press (suitable for displaying a video frame-by-frame). To remove the window, use cv::destroyWindow.[Windows Backend Only] Pressing Ctrl+C will copy the image to the clipboard.[Windows Backend Only] Pressing Ctrl+S will show a dialog to save the image.Examples: fld_lines.cpp, modules/shape/samples/shape_example.cpp, samples/cpp/camshiftdemo.cpp, samples/cpp/connected_components.cpp, samples/cpp/contours2.cpp, samples/cpp/convexhull.cpp, samples/cpp/create_mask.cpp, samples/cpp/demhist.cpp, samples/cpp/distrans.cpp, samples/cpp/edge.cpp, samples/cpp/facedetect.cpp, samples/cpp/falsecolor.cpp, samples/cpp/ffilldemo.cpp, samples/cpp/fitellipse.cpp, samples/cpp/grabcut.cpp, samples/cpp/image_alignment.cpp, samples/cpp/intersectExample.cpp, samples/cpp/kalman.cpp, samples/cpp/kmeans.cpp, samples/cpp/laplace.cpp, samples/cpp/lkdemo.cpp, samples/cpp/minarea.cpp, samples/cpp/pca.cpp, samples/cpp/peopledetect.cpp, samples/cpp/polar_transforms.cpp, samples/cpp/segment_objects.cpp, samples/cpp/squares.cpp, samples/cpp/train_HOG.cpp, samples/cpp/tutorial_code/features2D/Homography/homography_from_camera_displacement.cpp, samples/cpp/tutorial_code/features2D/Homography/pose_from_homography.cpp, samples/cpp/tutorial_code/HighGUI/AddingImagesTrackbar.cpp, samples/cpp/tutorial_code/Histograms_Matching/MatchTemplate_Demo.cpp, samples/cpp/tutorial_code/ImgProc/basic_drawing/Drawing_1.cpp, samples/cpp/tutorial_code/ImgProc/basic_drawing/Drawing_2.cpp, samples/cpp/tutorial_code/ImgProc/Morphology_1.cpp, samples/cpp/tutorial_code/ImgProc/Morphology_2.cpp, samples/cpp/tutorial_code/ImgProc/Pyramids/Pyramids.cpp, samples/cpp/tutorial_code/ImgProc/Smoothing/Smoothing.cpp, samples/cpp/tutorial_code/ImgTrans/copyMakeBorder_demo.cpp, samples/cpp/tutorial_code/ImgTrans/houghcircles.cpp, samples/cpp/tutorial_code/ImgTrans/houghlines.cpp, samples/cpp/tutorial_code/ImgTrans/Sobel_Demo.cpp, samples/cpp/tutorial_code/ml/introduction_to_pca/introduction_to_pca.cpp, samples/cpp/tutorial_code/photo/non_photorealistic_rendering/npr_demo.cpp, samples/cpp/tutorial_code/photo/seamless_cloning/cloning_demo.cpp, samples/cpp/videowriter_basic.cpp, samples/cpp/warpPerspective_demo.cpp, samples/cpp/watershed.cpp, samples/dnn/classification.cpp, samples/dnn/colorization.cpp, samples/dnn/object_detection.cpp, samples/dnn/openpose.cpp, samples/dnn/segmentation.cpp, samples/dnn/text_detection.cpp, samples/tapi/hog.cpp, and samples/tapi/squares.cpp.","画像が32ビットまたは64ビットの浮動小数点である場合、ピクセル値は255倍されます。つまり，値の範囲 [0,1] は [0,255] にマッピングされます．OpenGL をサポートするウィンドウが作成された場合，cv::imshow は入力として ogl::Buffer , ogl::Texture2D, cuda::GpuMat もサポートします．この関数より前にウィンドウが作成されていない場合は，cv::WINDOW_AUTOSIZE でウィンドウを作成したものとみなされます．スクリーンの解像度よりも大きな画像を表示する必要がある場合は，imshowの前に namedWindow("""", WINDOW_NORMAL) を呼び出す必要があります． 注意この関数は，与えられた画像を実際に表示したり，ウィンドウがマウスやキーボードのイベントに反応したりするのに必要なGUIハウスキーピングタスクを行うために，cv::waitKey または cv::pollKey の呼び出しの後に実行されるべきです．そうしないと，画像が表示されず，ウィンドウがロックしてしまうかもしれません．例えば，waitKey(0) は，任意のキーが押されるまで無限にウィンドウを表示します（画像表示に適しています）． waitKey(25) は，1 フレームを表示し，キーが押されるまで約 25 ms 待ちます（ビデオを 1 フレームごとに表示するのに適しています）．ウィンドウを削除するには，cv::destroyWindowを利用します．[Windows Backend Only] Ctrl+Cを押すと，画像をクリップボードにコピーします．[Windows Backend Only] Ctrl+Sを押すと，画像を保存するためのダイアログが表示されます．例: fld_lines.cpp, modules/shape/samples/shape_example.cpp, samples/cpp/camshiftdemo.cpp、samples/cpp/connected_components.cpp、samples/cpp/contours2.cpp、samples/cpp/convexhull.cpp、samples/cpp/create_mask.cpp、samples/cpp/demhist.cpp、samples/cpp/distrans.cpp、samples/cpp/edge.cpp、samples/cpp/facedetect.cpp、samples/cpp/falecolor.cpp、samples/cpp/ffilldemo.cpp、samples/cpp/fitellipse.cpp。cpp, samples/cpp/grabcut.cpp, samples/cpp/image_alignment.cpp, samples/cpp/intersectExample.cpp, samples/cpp/kalman.cpp, samples/cpp/kmeans.cpp, samples/cpp/laplace.cpp, samples/cpp/lkdemo.cpp, samples/cpp/minarea.cpp, samples/cpp/pca.cpp, samples/cpp/peopledetect.cpp, samples/cpp/polar_transforms.cpp, samples/cpp/segment_objects.cpp, samples/cpp/squares.cpp, samples/cpp/train_HOG.cpp, samples/cpp/tutorial_code/features2D/Homography/homography_from_camera_displacement.cpp, samples/cpp/tutorial_code/features2D/Homography/pose_from_homography.cpp, samples/cpp/tutorial_code/HighGUI/AddingImagesTrackbar.cpp, samples/cpp/tutorial_code/Histograms_Matching/MatchTemplate_Demo.cpp, samples/cpp/tutorial_code/ImgProc/basic_drawing/Drawing_1.cpp, samples/cpp/tutorial_code/ImgProc/basic_drawing/Drawing_2.cpp, samples/cpp/tutorial_code/ImgProc/Morphology_1.cpp, samples/cpp/tutorial_code/ImgProc/Morphology_2.cpp, samples/cpp/tutorial_code/ImgProc/Pyramids/Pyramids.cpp, samples/cpp/tutorial_code/ImgProc/Smoothing/Smoothing.cpp, samples/cpp/tutorial_code/ImgTrans/copyMakeBorder_demo.cpp, samples/cpp/tutorial_code/ImgTrans/houghcircles.cpp, samples/cpp/tutorial_code/ImgTrans/houghlines.cpp, samples/cpp/tutorial_code/ImgTrans/Sobel_Demo.cpp, samples/cpp/tutorial_code/ml/introduction_to_pca/introduction_to_pca.cpp, samples/cpp/tutorial_code/photo/non_photorealistic_rendering/npr_demo.cpp, samples/cpp/tutorial_code/photo/seamless_cloning/cloning_demo.cpp, samples/cpp/videowriter_basic.cpp、samples/cpp/warpPerspective_demo.cpp、samples/cpp/watershed.cpp、samples/dnn/classification.cpp、samples/dnn/colorization.cpp、samples/dnn/object_detection.cpp、samples/dnn/openpose.cpp、samples/dnn/segmentation.cpp、samples/dnn/text_detection.cpp、samples/tapi/hog.cpp、samples/tapi/squares.cppです。"
"Similar to waitKey, but returns full key code.",waitKeyと似ていますが、完全なキーコードを返します。
NoteKey code is implementation specific and depends on used backend: QT/GTK/Win32/etc,NoteKeyのコードは実装によって異なり、使用するバックエンドに依存します。QT/GTK/Win32/その他
Resizes the window to the specified size.,指定されたサイズにウィンドウをリサイズします。
winname : Window name.,winname : ウィンドウの名前です。
width : The new window width.,width : 新しいウィンドウの幅です。
height : The new window height.,height : 新しいウィンドウの高さを指定します。
NoteThe specified window size is for the image area. Toolbars are not counted.,注意：指定されたウィンドウサイズは画像領域のサイズです。ツールバーはカウントされません．
Only windows created without cv::WINDOW_AUTOSIZE flag can be resized.,cv::WINDOW_AUTOSIZE フラグを持たずに作成されたウィンドウだけが，リサイズ可能です．
Moves the window to the specified position.,ウィンドウを指定された位置に移動させます．
x : The new x-coordinate of the window.,x : ウィンドウの新しいx座標．
y : The new y-coordinate of the window.,y :ウィンドウの新しい y 座標．
"Examples: modules/shape/samples/shape_example.cpp, samples/cpp/image_alignment.cpp, samples/cpp/polar_transforms.cpp, samples/cpp/tutorial_code/ImgProc/basic_drawing/Drawing_1.cpp, samples/cpp/tutorial_code/ImgProc/Morphology_1.cpp, and samples/cpp/warpPerspective_demo.cpp.",例: modules/shape/samples/shape_example.cpp、samples/cpp/image_alignment.cpp、samples/cpp/polar_transforms.cpp、samples/cpp/tutorial_code/ImgProc/basic_drawing/Drawing_1.cpp、samples/cpp/tutorial_code/ImgProc/Morphology_1.cpp、samples/cpp/warpPerspective_demo.cpp.
Changes parameters of a window dynamically.,ウィンドウのパラメータを動的に変更します。
